Dict	Code	Description
ICD9	746.*	Other congenital anomalies of heart
ICD10	I05.*	Rheumatic mitral valve diseases
ICD10	I06.*	Rheumatic aortic valve diseases
ICD10	I07.*	Rheumatic tricuspid valve diseases
ICD9	394.*	Diseases of mitral valve
ICD9	395.*	Diseases of aortic valve
ICD9	396.*	Diseases of mitral and aortic valves
ICD9	397.*	Diseases of other endocardial structures
OPCS4	K25.*	Plastic repair of mitral valve
OPCS4	K26.*	Plastic repair of aortic valve
OPCS4	K27.*	Plastic repair of tricuspid valve
OPCS4	K28.*	Plastic repair of pulmonary valve
OPCS4	K29.*	Plastic repair of unspecified valve of heart
OPCS4	K30.*	Revision of plastic repair of valve of heart
OPCS4	K31.*	Open incision of valve of heart
OPCS4	K32.*	Closed incision of valve of heart
OPCS4	K34.*	Other open operations on valve of heart
OPCS4	K36.*	Excision of valve of heart
OPCS4	K37.*	Removal of obstruction from structure adjacent to valve of heart
OPCS4	K38.*	Other operations on structure adjacent to valve of heart
CPT4	33361	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; percutaneous femoral artery approach
CPT4	33362	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; open femoral artery approach
CPT4	33363	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; open axillary artery approach
CPT4	33364	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; open iliac artery approach
CPT4	33365	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transaortic approach (e.g., median sternotomy, mediastinotomy)
CPT4	33366	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transapical exposure (e.g., left thoracotomy)
CPT4	33367	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardiopulmonary bypass support with percutaneous peripheral arterial and venous cannulation (e.g., femoral vessels) (List separately in addition to code for primary procedure)
CPT4	33368	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardiopulmonary bypass support with open peripheral arterial and venous cannulation (e.g., femoral, iliac, axillary vessels) (List separately in addition to code for primary procedure)
CPT4	33369	Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardiopulmonary bypass support with central arterial and venous cannulation (e.g., aorta, right atrium, pulmonary artery) (List separately in addition to code for primary procedure)
CPT4	33390	Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; simple (ie, valvotomy, debridement, debulking and/or simple commissural resuspension)
